Section,Investigation,Investigation_Loinc,Parameter,parameter_Loinc
HORMONES,FREE T3,83127-1,FREE T3,83127-1
HORMONES,FREE T4,14920-3,FREE T4,14920-3
HORMONES,FSH,15067-2,FSH,15067-2
MOHLabTest,GAMMA GT,,GAMMA GT,
CHEMISTRY,GLUCOSE FASTING,14771-0,GLUCOSE FASTING,14771-0
CHEMISTRY,GLUCOSE FASTING,14771-0,COMMENT,0
POCT,GLUCOSE FASTING  (POCT),,GLUCOSE FASTING  (POCT),
POCT,GLUCOSE FASTING  POCT,40014-3,GLUCOSE FASTING  POCT,40014-3
POCT,GLUCOSE FASTING  POCT,40014-3,COMMENT,
CHEMISTRY,GLUCOSE RANDOM,14749-6,GLUCOSE RANDOM,14749-6
POCT,GLUCOSE RANDOM  POCT,2345-7,GLUCOSE RANDOM  POCT,2345-7
CHEMISTRY,GLYCOSYLATED HB,4548-4,GLYCOSYLATED HB,4548-4
SEROLOGY,HBs Ab,5193-8,-,0
SEROLOGY,HBs Ab,5193-8,HBs Ab,5193-8
BLOOD BANK (DONATION TESTS),HBS AB,,HBS AB,
BLOOD BANK (DONATION TESTS),HBSAG,,HBSAG,
MOHLabTest,HCG QUANTITATIVE BLOOD,,HCG QUANTITATIVE BLOOD,
BLOOD BANK (DONATION TESTS),HCV RIBA,,HCV RIBA,
CHEMISTRY,HDL - CHOLESTEROL,2085-9,HDL - CHOLESTEROL,2085-9
BLOOD BANK (DONATION TESTS),HIV 1&2 AGAB +24P,,HIV 1&2 AGAB +24P,
CHEMISTRY,IRON,50190-8,TIBC,2500-7
CHEMISTRY,IRON,2498-4,IRON,2498-4
CHEMISTRY,IRON,50190-8,IRON,2498-4
MOHLabTest,LACTATE DEHYDROGENASE,,LACTATE DEHYDROGENASE,
CHEMISTRY,LDH,14804-9,LDH,14804-9
HORMONES,LH,10501-5,LH,10501-5
CHEMISTRY,LIPASE,3040-3,LIPASE,3040-3
CHEMISTRY,LIPID PROFILE,,CHOLESTEROL HDL RATIO,0
CHEMISTRY,LIPID PROFILE,,CHOLESTEROL,2093-3
CHEMISTRY,LIPID PROFILE,,TRIGLYCERIDES,12951-0
CHEMISTRY,LIPID PROFILE,,HDL - CHOLESTEROL,2085-9
